# LEGO COLORS FOR 1X1 PLATE,,,
E3A05B,6215606,Medium Nougat,150 
A2BFA3,6099189,Sand Green,48 
6A0E15,4539114,Dark Red,59 
82422A,4221744,Reddish Brown,88 
AFB5C7,4211399,Light Bluish Gray,86 
595D60,4210719,Dark Bluish Gray,85 
FF7E14,4524929,Orange,4 
00923D,302428,Green,6 
B30006,302421,Red,5 
C689D9,4619521,Medium Lavender,157 
243757,4184108,Dark Blue,63 
FFE001,302424,Yellow,3 
0057A6,302423,Blue,7 
EED9A4,4159553,Tan,2 
212121,302426,Black,11 
FFFFFF,302401,White,1 
D3BDE3,6099363,Lavender,154 
B35408,6186012,Dark Orange,68 
BCD1ED,6184484,Bright Light Blue,105 
FECCB0,6357797,Light Nougat,90 
2E5543,6055169,Dark Green,80 
009FE0,6151664,Dark Azure,153 
C4E000,4621557,Lime,34 
5F2683,6231376,Dark Purple,89 
EF5BB3,6217797,Dark Pink,47 
00A29F,6213778,Dark Turquoise,39 
50372F,6194729,Dark Brown,120 
6ACEE0,6097493,Medium Azure,156 
B72276,6096942,Magenta,71 
CFEFEA,6058016,Light Aqua,152 
FFF08C,6058014,Bright Light Yellow,103 
ABA953,6058245,Olive Green,155 
F7BCDA,6031883,Bright Pink,104 
FFC700,6073040,Bright Light Orange,110 
B89869,4549436,Dark Tan,69 
82ADD8,4179826,Medium Blue,42 
FF8172,6258091,Coral,220 